,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,500,WOA_TEMP_K,100.0,1.9545054924777516,17.417398071289085,17.36312127685549,0,0,643.098,643.0
1,468,WOA_Nitrate,93.60000000000001,1.050518278898163,7.708664417266846,7.775461211482174,1,1,372.1875,386.5
2,32,WOA_TEMP_K,6.4,0.18581853717270191,14.450769042968773,14.454162216186546,1,1,372.1875,386.5
3,376,WOA_TEMP_K,75.2,1.5610958226592921,22.993554687500023,22.61935634207221,1,2,300.44354838709677,307.0
4,124,WOA_Nitrate,24.8,2.0484768573109773,5.906814098358154,4.497002685607802,1,2,300.44354838709677,307.0
5,371,WOA_TEMP_K,74.2,1.65077215031256,5.972100830078148,6.797204589843773,2,3,175.92248062015503,171.0
6,129,WOA_Nitrate,25.8,3.492224468972,7.44501256942749,4.974127916864647,2,3,175.92248062015503,171.0
7,457,WOA_TEMP_K,91.4,5.037959753219041,1.1885620117187727,3.762520861469183,2,4,156.90697674418604,138.0
8,43,WOA_Nitrate,8.6,5.056870392777069,6.0683183670043945,5.637166952497737,2,4,156.90697674418604,138.0
9,348,WOA_Nitrate,69.6,1.9811617056288713,5.891585350036621,4.9556033378520485,2,5,235.0065789473684,289.0
10,152,WOA_TEMP_K,30.4,66.43763100264671,21.209893798828148,5.632279566714661,2,5,235.0065789473684,289.0
11,282,WOA_Nitrate,56.39999999999999,1.8019298906578098,1.3972923755645752,1.5357089714834085,2,6,124.56422018348624,130.0
12,218,WOA_TEMP_K,43.6,4.006435339341727,24.68921813964846,24.20573262905858,2,6,124.56422018348624,130.0
14,201,WOA_TEMP_K,40.2,3.4473989173032242,5.485681152343773,6.686463131121757,3,7,50.69651741293532,21.0
13,299,WOA_Nitrate,59.8,2.175163788052337,2.9008095264434814,3.225686681123581,3,7,50.69651741293532,21.0
15,329,WOA_TEMP_K,65.8,44.33921052574434,13.986108398437523,3.7218908246165214,3,8,119.69590643274854,130.0
16,171,WOA_Nitrate,34.2,3.215316896916421,1.8154401779174805,3.353350832361227,3,8,119.69590643274854,130.0
17,257,WOA_TEMP_K,51.4,3.3478416815840677,1.0748840332031477,1.5745735138770898,3,9,79.17695473251028,78.0
18,243,WOA_Nitrate,48.6,9.506908500803089,27.749679565429688,20.808934546363208,3,9,79.17695473251028,78.0
19,360,WOA_TEMP_K,72.0,67.73143192851738,13.828698730468773,-3.630460611979144,3,10,74.25714285714285,92.0
20,140,WOA_Nitrate,28.000000000000004,6.357438034545055,9.257543563842773,11.431929385662079,3,10,74.25714285714285,92.0
21,337,WOA_TEMP_K,67.4,74.35458914168747,18.120294189453148,-0.9959643808245785,3,11,103.09815950920246,108.0
22,163,WOA_Nitrate,32.6,1.2844406825145218,0.1948457807302475,0.6297022865148135,3,11,103.09815950920246,108.0
23,314,WOA_TEMP_K,62.8,54.439145530908725,19.147668457031273,9.602999566922543,3,12,105.88709677419355,84.0
24,186,WOA_Nitrate,37.2,3.108322485312515,2.3994576930999756,3.8012687210093743,3,12,105.88709677419355,84.0
25,272,WOA_TEMP_K,54.400000000000006,31.57410048612085,24.836511230468773,20.885424176384443,3,13,122.3157894736842,119.5
26,228,WOA_Nitrate,45.6,1.8403243690323705,0.22141151130199432,0.9384888812997624,3,13,122.3157894736842,119.5
27,282,WOA_Nitrate,56.39999999999999,2.0655816650280134,2.9381589889526367,3.0564389159466994,3,14,71.68807339449542,34.0
28,218,WOA_TEMP_K,43.6,104.00687042976695,26.452066040039085,-15.488464579450953,3,14,71.68807339449542,34.0
30,98,WOA_Nitrate,19.6,2.379031645614065,2.9008095264434814,2.6903240246204088,3,15,17.23469387755102,10.0
29,402,WOA_TEMP_K,80.4,123.3123453645535,4.719995117187523,-66.72862983058339,3,15,17.23469387755102,10.0
31,394,WOA_TEMP_K,78.8,57.50706875925903,4.486596679687523,-5.336784540941245,4,16,39.58490566037736,16.5
32,106,WOA_Nitrate,21.2,2.6746397821610555,4.564281463623047,4.454259167442906,4,16,39.58490566037736,16.5
33,270,WOA_Nitrate,54.0,6.173478724583052,3.339023232460022,4.7791754763711385,4,17,53.49130434782609,67.0
34,230,WOA_TEMP_K,46.0,78.39133773110869,8.340661621093773,-14.752173249617847,4,17,53.49130434782609,67.0
35,278,WOA_TEMP_K,55.60000000000001,108.18750505067942,12.998376464843773,-35.822639256758634,4,18,76.75225225225225,71.0
36,222,WOA_Nitrate,44.4,5.019982952372138,5.912938594818115,4.742439797534062,4,18,76.75225225225225,71.0
37,340,WOA_Nitrate,68.0,8.541162890773753,27.81155014038086,21.798052732986125,4,19,50.9,40.5
38,160,WOA_TEMP_K,32.0,60.65256236976292,0.005853271484397737,-12.375801086425758,4,19,50.9,40.5
39,282,WOA_Nitrate,56.39999999999999,8.744245626466462,27.87439727783203,22.736339932690697,4,20,36.055045871559635,7.0
40,218,WOA_TEMP_K,43.6,117.01490640777253,0.13334045410158524,-58.589331194676376,4,20,36.055045871559635,7.0
41,294,WOA_TEMP_K,58.8,114.27505935453547,8.932885742187523,-47.559778517119724,4,21,76.75728155339806,90.0
42,206,WOA_Nitrate,41.199999999999996,7.5643343591794014,9.257543563842773,13.09540766897132,4,21,76.75728155339806,90.0
44,119,WOA_Nitrate,23.799999999999997,6.890512510716298,9.03473949432373,12.554620476330028,4,22,26.781512605042018,4.0
43,381,WOA_TEMP_K,76.2,143.18287164226683,-275.15,-140.58489823629228,4,22,26.781512605042018,4.0
46,201,WOA_Nitrate,40.2,0.734905706798718,0.11836429685354233,0.4370993384072066,4,23,38.472636815920396,25.0
45,299,WOA_TEMP_K,59.8,138.63816848153465,17.299523925781273,-78.45257545904968,4,23,38.472636815920396,25.0
47,272,WOA_TEMP_K,54.400000000000006,100.20887969797431,19.318811035156273,-19.13638130636774,4,24,69.03070175438596,65.5
48,228,WOA_Nitrate,45.6,1.4392876467829403,0.4117922931909561,1.158647521843178,4,24,69.03070175438596,65.5
49,319,WOA_TEMP_K,63.800000000000004,116.9879399053,18.635034179687523,-37.421480070012464,4,25,70.77348066298343,11.0
50,181,WOA_Nitrate,36.199999999999996,3.2024348854932256,2.020681381225586,3.3402342457833663,4,25,70.77348066298343,11.0
51,324,WOA_TEMP_K,64.8,143.918921925695,19.041986083984398,-90.28129660523965,4,26,29.852272727272727,4.0
52,176,WOA_Nitrate,35.199999999999996,2.8270036880142175,4.663288116455078,4.590950248720632,4,26,29.852272727272727,4.0
