,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,500,WOA_TEMP_K,100.0,1.9545054924777516,17.417398071289085,17.36312127685549,0,0,643.098,643.0
1,245,WOA_MLDpt,49.0,8.545733026095734,30.450000762939453,26.14102064249467,1,1,390.25,401.0
2,175,WOA_Nitrate,35.0,0.3373126801898977,7.912936210632324,7.9662536512102395,1,1,390.25,401.0
3,60,WOA_Salinity,12.0,1.243356961485532,32.167152404785156,32.768794250488284,1,1,390.25,401.0
4,20,WOA_TEMP_K,4.0,0.21965928063167423,14.450769042968773,14.46716766357424,1,1,390.25,401.0
5,338,WOA_TEMP_K,67.60000000000001,1.4257252078697267,22.898156738281273,22.442006796210496,1,2,257.4561403508772,244.0
6,105,WOA_Nitrate,21.0,1.8021898201706243,5.9220428466796875,4.931513044468704,1,2,257.4561403508772,244.0
7,57,WOA_Salinity,11.4,0.5252288438930928,35.68980407714844,35.99810871325041,1,2,257.4561403508772,244.0
8,244,WOA_Salinity,48.8,3.4035670410597443,34.992942810058594,33.68478248158439,2,3,85.7,99.0
9,116,WOA_Nitrate,23.200000000000003,4.54785620773916,8.475814819335938,6.464509936627643,2,3,85.7,99.0
10,110,WOA_MLDpt,22.0,10.682149202420922,5.849999904632568,12.96227256601507,2,3,85.7,99.0
11,30,WOA_TEMP_K,6.0,3.782817256006487,6.892510986328148,8.38356119791669,2,3,85.7,99.0
15,53,WOA_MLDpt,10.6,117.4961966960534,35.849998474121094,117.31886791733076,2,4,240.11320754716982,237.0
14,55,WOA_TEMP_K,11.0,2.135833454295106,14.332788085937523,13.69808072176849,2,4,240.11320754716982,237.0
12,241,WOA_Salinity,48.199999999999996,0.6620965954203861,33.885887145996094,34.13905103374814,2,4,240.11320754716982,237.0
13,151,WOA_Nitrate,30.2,0.6952896839562617,7.681279182434082,7.692124576758075,2,4,240.11320754716982,237.0
16,275,WOA_Nitrate,55.00000000000001,1.4980339084126157,5.94885778427124,5.34189386871728,2,5,122.45238095238095,144.5
17,126,WOA_TEMP_K,25.2,2.2912521770462826,21.221765136718773,21.425135730561774,2,5,122.45238095238095,144.5
18,57,WOA_Salinity,11.4,1.4941066388702569,35.38909149169922,35.12993835984615,2,5,122.45238095238095,144.5
19,42,WOA_MLDpt,8.4,32.7523207078841,29.249999046325684,36.88333369436718,2,5,122.45238095238095,144.5
20,249,WOA_Salinity,49.8,0.39990701386736965,35.608604431152344,35.71460601316399,2,6,68.78082191780823,17.0
21,91,WOA_TEMP_K,18.2,3.6273635266398494,21.226800537109398,22.51042990212914,2,6,68.78082191780823,17.0
22,87,WOA_Nitrate,17.4,2.446098121039447,2.304271697998047,2.3753218023299145,2,6,68.78082191780823,17.0
23,73,WOA_MLDpt,14.6,22.303678121621516,56.44999694824219,49.28835604942008,2,6,68.78082191780823,17.0
27,90,WOA_TEMP_K,18.0,5.0983682884548145,6.908013916015648,10.340988498263911,3,7,35.044444444444444,36.0
24,187,WOA_MLDpt,37.4,21.513374730426047,20.399999618530273,25.619786298211245,3,7,35.044444444444444,36.0
25,121,WOA_Nitrate,24.2,4.428191147052356,6.442724227905273,4.746215359484854,3,7,35.044444444444444,36.0
26,102,WOA_Salinity,20.4,6.4009515301258135,31.919700622558594,30.178853876450482,3,7,35.044444444444444,36.0
31,109,WOA_MLDpt,21.8,49.67001743551843,18.450000762939453,24.04633021573408,3,8,39.80733944954128,29.0
30,113,WOA_TEMP_K,22.6,3.6865663538618714,14.397790527343773,14.2781870073977,3,8,39.80733944954128,29.0
28,153,WOA_Salinity,30.599999999999998,5.066027485720092,35.23400115966797,33.07065861521203,3,8,39.80733944954128,29.0
